C,SETA.WORLD,PDR_CONFIG_FULL,AEMO,PUBLIC,2025/02/26,11:25:42,0000000452666890,PDR_CONFIG,0000000452666890
I,PDR_REPORT,FILE,1,REPORT_TYPE,TRANSACTION_TYPE_OVERRIDE,IS_ACTIVE,IS_NEW,SEQUENTIAL_PROCESS
D,PDR_REPORT,FILE,1,ANCILLIARY_SERVICES,,0,0,0
D,PDR_REPORT,FILE,1,AP_EVENT,,0,0,0
D,PDR_REPORT,FILE,1,ASOFFER,,0,0,0
D,PDR_REPORT,FILE,1,BID,,0,0,0
D,PDR_REPORT,FILE,1,BIDMOVE_COMPLETE,,0,0,0
D,PDR_REPORT,FILE,1,BILLING,,0,0,0
D,PDR_REPORT,FILE,1,BILLING_CONFIG,,0,0,0
D,PDR_REPORT,FILE,1,CDEII,,0,0,0
D,PDR_REPORT,FILE,1,DEMAND,,0,0,0
D,PDR_REPORT,FILE,1,DISPATCHBNC,,0,0,0
D,PDR_REPORT,FILE,1,DISPATCHIS,,0,0,0
D,PDR_REPORT,FILE,1,DISPATCHIS_FCAS,,0,0,0
D,PDR_REPORT,FILE,1,DISPATCHOCD,,0,0,0
D,PDR_REPORT,FILE,1,DISPATCHSCADA,,0,0,0
D,PDR_REPORT,FILE,1,DISPATCH_CONFORMANCE,,0,0,0
D,PDR_REPORT,FILE,1,FORCE_MAJEURE,,0,0,0
D,PDR_REPORT,FILE,1,FPP,,0,0,0
D,PDR_REPORT,FILE,1,GAS_BB,,0,0,0
D,PDR_REPORT,FILE,1,GD_INSTRUCT,,0,0,0
D,PDR_REPORT,FILE,1,GENCON,,0,0,1
D,PDR_REPORT,FILE,1,GSH,,0,0,0
D,PDR_REPORT,FILE,1,IRAUCTION,,0,0,0
D,PDR_REPORT,FILE,1,IRAUCTION_BIDS,,0,0,0
D,PDR_REPORT,FILE,1,IRAUCTION_CONFIG,,0,0,0
D,PDR_REPORT,FILE,1,MARKET_CONFIG,,0,0,0
D,PDR_REPORT,FILE,1,MARKET_NOTICE,,0,0,0
D,PDR_REPORT,FILE,1,MCCDISPATCH,,0,0,0
D,PDR_REPORT,FILE,1,METER_DATA,,0,0,0
D,PDR_REPORT,FILE,1,MR_EVENT,,0,0,0
D,PDR_REPORT,FILE,1,MR_EVENT_SCHEDULE,,0,0,0
D,PDR_REPORT,FILE,1,MTPASA,,0,0,0
D,PDR_REPORT,FILE,1,MTPASAREGIONAVAILABILITY,,0,0,0
D,PDR_REPORT,FILE,1,NETWORK,,0,0,0
D,PDR_REPORT,FILE,1,NEXT_DAY_ACTUAL_GEN,,0,0,0
D,PDR_REPORT,FILE,1,NEXT_DAY_DISPATCH,,0,0,0
D,PDR_REPORT,FILE,1,NEXT_DAY_DISPATCHBNC,,0,0,0
D,PDR_REPORT,FILE,1,NEXT_DAY_FPP,,0,0,0
D,PDR_REPORT,FILE,1,NEXT_DAY_FPP_MW,,0,0,0
D,PDR_REPORT,FILE,1,NEXT_DAY_GDINSTRUCT,,0,0,0
D,PDR_REPORT,FILE,1,NEXT_DAY_INTERMITTENT,,0,0,0
D,PDR_REPORT,FILE,1,NEXT_DAY_INTERMITTENT_DS,,0,0,0
D,PDR_REPORT,FILE,1,NEXT_DAY_INTERMITTENT_GEN_SCADA,,0,0,0
D,PDR_REPORT,FILE,1,NEXT_DAY_MCCDISPATCH,,0,0,0
D,PDR_REPORT,FILE,1,NEXT_DAY_MR,,0,0,0
D,PDR_REPORT,FILE,1,NEXT_DAY_OFFER_ENERGY,,0,0,0
D,PDR_REPORT,FILE,1,NEXT_DAY_OFFER_FCAS,,0,0,0
D,PDR_REPORT,FILE,1,NEXT_DAY_PREDISPATCH_D,INSERT,0,0,1
D,PDR_REPORT,FILE,1,NEXT_DAY_TRADING,,0,0,0
D,PDR_REPORT,FILE,1,P5MIN,,0,0,0
D,PDR_REPORT,FILE,1,P5MIN_SENSITIVITIES,,0,0,1
D,PDR_REPORT,FILE,1,PARTICIPANT_REGISTRATION,,0,0,1
D,PDR_REPORT,FILE,1,PD7DAY,,0,0,0
D,PDR_REPORT,FILE,1,PDPASA,,0,0,0
D,PDR_REPORT,FILE,1,PREDISPATCHIS,,0,0,1
D,PDR_REPORT,FILE,1,PREDISPATCHIS_FCAS,,0,0,1
D,PDR_REPORT,FILE,1,PREDISPATCH_SENSITIVITIES,,0,0,1
D,PDR_REPORT,FILE,1,PRICE_REVISION_DISPATCH,UPDATE-INSERT,0,0,1
D,PDR_REPORT,FILE,1,PRUDENTIAL,,0,0,0
D,PDR_REPORT,FILE,1,REALLOCATION,,0,0,0
D,PDR_REPORT,FILE,1,RESERVE_DATA,,0,0,0
D,PDR_REPORT,FILE,1,SETTLEMENTS,,0,0,0
D,PDR_REPORT,FILE,1,SETTLEMENT_CONFIG,,0,0,0
D,PDR_REPORT,FILE,1,STPASA,,0,0,0
D,PDR_REPORT,FILE,1,TRADINGIS,,0,0,0
D,PDR_REPORT,FILE,1,VOLTAGE_INSTRUCTIONS,,0,0,1
I,PDR_REPORT,TABLE,1,REPORT_NAME,REPORT_SUB_TYPE,VERSION,DESTINATION_TABLE,TRANSACTION_TYPE,ROW_FILTER_TYPE,IS_ACTIVE,IS_NEW
D,PDR_REPORT,TABLE,1,ANCILLIARY_SERVICES,CONTRACTAGC,1,CONTRACTAGC,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,ANCILLIARY_SERVICES,CONTRACTLOADSHED,1,CONTRACTLOADSHED,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,ANCILLIARY_SERVICES,CONTRACTLOADSHED,2,CONTRACTLOADSHED,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,ANCILLIARY_SERVICES,CONTRACTREACTIVEPOWER,3,CONTRACTREACTIVEPOWER,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,ANCILLIARY_SERVICES,CONTRACTREACTIVEPOWER,4,CONTRACTREACTIVEPOWER,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,ANCILLIARY_SERVICES,CONTRACTRESTARTSERVICES,2,CONTRACTRESTARTSERVICES,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,ANCILLIARY_SERVICES,CONTRACTRESTARTSERVICES,1,CONTRACTRESTARTSERVICES,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,ANCILLIARY_SERVICES,CONTRACTRESTARTUNITS,1,CONTRACTRESTARTUNITS,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,AP,APEVENT,1,APEVENT,INSERT,,1,0
D,PDR_REPORT,TABLE,1,AP,APEVENTREGION,2,APEVENTREGION,INSERT,,1,0
D,PDR_REPORT,TABLE,1,AP,APEVENTREGION,1,APEVENTREGION,INSERT,,1,0
D,PDR_REPORT,TABLE,1,AP,REGIONAPC,1,REGIONAPC,INSERT,,1,0
D,PDR_REPORT,TABLE,1,AP,REGIONAPCINTERVALS,1,REGIONAPCINTERVALS,INSERT,,1,0
D,PDR_REPORT,TABLE,1,ASOFFER,OFFERAGCDATA,1,OFFERAGCDATA,INSERT,,1,0
D,PDR_REPORT,TABLE,1,ASOFFER,OFFERASTRK,1,OFFERASTRK,INSERT,,1,0
D,PDR_REPORT,TABLE,1,ASOFFER,OFFERLSHEDDATA,1,OFFERLSHEDDATA,INSERT,,1,0
D,PDR_REPORT,TABLE,1,ASOFFER,OFFERRESTARTDATA,1,OFFERRESTARTDATA,INSERT,,1,0
D,PDR_REPORT,TABLE,1,ASOFFER,OFFERRPOWERDATA,1,OFFERRPOWERDATA,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BID,BIDDAYOFFER_D,2,BIDDAYOFFER_D,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BID,BIDDAYOFFER_D,3,BIDDAYOFFER_D,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BID,BIDPEROFFER_D,3,BIDPEROFFER_D,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BID,BIDPEROFFER_D,2,BIDPEROFFER_D,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BID,MNSP_DAYOFFER,2,MNSP_DAYOFFER,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BID,MNSP_DAYOFFER,1,MNSP_DAYOFFER,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BID,MNSP_FILETRK,1,MNSP_FILETRK,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BID,MNSP_OFFERTRK,1,MNSP_OFFERTRK,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BID,MNSP_PEROFFER,1,MNSP_PEROFFER,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BIDS,BIDDAYOFFER,2,BIDDAYOFFER,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BIDS,BIDDAYOFFER,1,BIDDAYOFFER,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BIDS,BIDOFFERFILETRK,1,BIDOFFERFILETRK,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BIDS,BIDOFFERPERIOD,2,BIDOFFERPERIOD,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BIDS,BIDOFFERPERIOD,1,BIDOFFERPERIOD,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BIDS,BIDOFFERPERIOD_SPARSE,1,BIDOFFERPERIOD,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BIDS,MNSP_BIDOFFERPERIOD,1,MNSP_BIDOFFERPERIOD,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BIDS,MNSP_DAYOFFER,1,MNSP_DAYOFFER,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,APC_COMPENSATION,2,BILLING_APC_COMPENSATION,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,APC_RECOVERY,3,BILLING_APC_RECOVERY,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,APC_RECOVERY,2,BILLING_APC_RECOVERY,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,ASPAYMENTS,7,BILLINGASPAYMENTS,INSERT,,1,0
D,PDR_REPORT,TABLE,1,BILLING,ASRECOVERY,9,BILLINGASRECOVERY,INSERT,,1,0
